Year,Island,Age,Length_cm,Weight_kg
1992,Little,NA,64,NA
1992,Little,NA,68,NA
1992,Little,NA,63,NA
1992,Little,NA,57,NA
1992,Little,NA,49,NA
1992,Little,NA,53,NA
1992,Little,NA,52,NA
1992,Little,NA,55,NA
1992,Little,NA,61,NA
1992,Little,NA,57,NA
1992,Little,NA,54,NA
1992,Little,NA,55,NA
1992,Little,NA,55,NA
1992,Little,NA,67,NA
1992,Little,NA,54,NA
1992,Little,NA,54,NA
1992,Little,NA,59,NA
1992,Little,NA,67,NA
1992,Little,NA,59,NA
1992,Little,NA,55,NA
1992,Little,NA,56,NA
1992,Little,NA,57,NA
1992,Little,NA,52,NA
1992,Little,NA,58,NA
1992,Little,NA,67,NA
1992,Little,NA,57,NA
1992,Little,NA,56,NA
1992,Little,NA,56,NA
1992,Little,NA,56,NA
1992,Little,NA,55,NA
1992,Little,NA,53,NA
1992,Little,NA,55,NA
1992,Little,NA,64,NA
1992,Little,NA,65,NA
1992,Little,NA,61,NA
1992,Little,NA,63,NA
1992,Little,NA,56,NA
